tweet_id	tweet	class
760402871867367424	настало время ингаляторов дружок сальбутамол	0
1035908416869462016	прошлой зимней олимпиаде большинство лыжников приехало справкой якобы астма сделано легально принимать сальбутамол принимаю ингаляторах расширяет объём легких сути допинг здорового человека	1
1089839736427032577	соглашусь заменой ЗОК метопролол таком виде первый форме сукцината держит концентрацию плазме сутки второй приёма пика внимание вопрос	0
779671488748224513	ЮЗЕРНЕЙМ мезим смекта отравление лоперамид	0
738309299756240897	уберите микроволновки имодиум действуют соулмэйты	0
1202310351943032834	ЮЗЕРНЕЙМ видео снято время приема оланзапина	0
933680693380571136	кроме выстраданные стандарты определения эффективности безопасности лекарств самого талидомида которые гомеопатические препарат прошел	0
738771297228951552	отчаянно пытаюсь найти тату молекулой флуоксетина	0
688135039578550272	слюнтяи утверждающие суицид удел слабых людей найдут тысячу причин глотать горсть прозака хватает смелости	0
966241801706319878	лыжи сальбутамол поможет россия норвегия	0
1007633833922056192	ципрофлоксацин 5 г р д смысл жизни	0
764157235127803908	скоро закончатся остатки сероквеля выменивала другие лекарства просить папы снять аптеку	0
882656373309362181	пашка техник любовь первого ксанакса	0
954750792900272128	жи прозак жи	0
1010145105192222720	ЮЗЕРНЕЙМ лечатся футболисты астмы синдрома дефицита внимания столь любимыми нероссийских спортсменов законными амфетамином декстроамфетамином 🤨	0
1073171045056679936	вентолин немного слабее выписали купить беродуал	0
851993151061598208	убойный коктейль мелатонина ламотриджина аминофенилмасляной кислоты ночь превратил моё пробуждение неподъёмную цель	0
735850626614169600	форадил комби кому нужен целые упаковки	0
965614047847698432	ЮЗЕРНЕЙМ порекомендовал сотрудникам wada выпить мельдония вдохнуть сальбутамола попробовать приблизиться результату любого медалиста splits вада крушельницкий	0
975275534266466304	оланзапин поможет назначат галоперидол хочу докатываться галоперидола делать проклятой тревожностью	0
905675633203740672	ветеринар прописал ингаляции фликсотидом мгк раза сутки прописал вентолин мгк случай приступов	0
994882887316058112	сами этими лекарствами пользуются та американская хумира среднем стоит тыщ наш аналог пусть анал запихнут возможности передайте	0
1018796487378198529	путать фуросемид флуоксетин забавно флуоксетин пожалуйста рецепт стоит лицом лица вспоминая мочегонные появился рецепт блять фуросемид пожалуйста	0
1033728517937221632	венлафаксин вместо золофта пойду погуглю побочки такие интересные	0
1037315634860883970	кого алпразолам лс пожалуйста	0
1199642365356650496	ЮЗЕРНЕЙМ питер мем ещё сероквель пару недель ждали выяснилось нигде заказу позвонили ждём квентиапин четвёртый дохера аптек обшарили	0
800590961608916992	крч sopranos сериал крутится вокруг прозака тех кому назначают	0
1049697733823606786	одновременно оланзапином назначали анаприлин ещё кучу дополнительной фармы тк нейролептики всё нагружают сердце	0
847691517120491520	переходу дорогу шарагу голове появляется мысль пора объебаться флуоксетином	0
1066063916034387968	поняла никакие отхода веществ сравнятся синдромом отмены пароксетина	1
716325452453908482	флуоксетина две пачки гдето валяется	0
1020748209080217601	ааааааа бэйби твоим ногам сыпала таблетки ксанакса прости	0
1026144372801318912	ЮЗЕРНЕЙМ чаще давлением маялся тохикардией мигренями бывает престариум пью беталок дед	0
1144613270982184961	могу сказать девочки самое время заменять мальборо айкосом спиды ксанаксом	0
1125837612432928768	ламотриджин придётся недель шесть ждать расчехлится	0
1127418070463598592	совпадение нескольких рах использования предмета получил хр бронхит курил сальбутамол	1
836543103687344130	нация прозака привозят	0
962757500213846018	кулстори самолечение чисто фану перестала пить паксил тону удивляюсь почему тону	0
1063754507174191106	набираю аптека.ру смотрю цены лекарства часто заказываю аптеках пытаются втюхать самое дорогое лекарство метформин разброс 400р 500ед шприц 3 посмотрите аспирин	0
1046035932154130433	вердикт суда закупке тамифлю тимошенко наварила миллионов долларов	0
975781949464756226	инфантильная амнезия забирает возможно яркие воспоминания схоже память действует прозак	0
1124655033306501122	посоветуйте витаминки друзья ксанакс экстази мдма батя ревит сорок рублей такая тема 🏼 🏼	0
1077422073008525317	плохого ЮЗЕРНЕЙМ производит конфеты торты неплохие недорогие юля умеет производить лапшу уши недалёкого лехтората воровать бюджетные заработанные деньги тамифлю зарабатывать vs воровать неужели видно разницы	0
654542359246585856	ЮЗЕРНЕЙМ параше отличии путина пришлось опрокинуть соточку храбрости лоперамида адреналина	0
1041620495391698945	ЮЗЕРНЕЙМ флуоксетин хз такая тяжёлая форма пить сильнее	0
813645746079727617	кармане пакетик оксикодона знаю принять отлично справляюсь смертью дерека	0
685423139073998849	ЮЗЕРНЕЙМ велафакс любому буду валяться пару часов понимания реальности	1
707228174573281280	ЮЗЕРНЕЙМ остается довольствоваться растишкой сеалексом рыбными пельменями семи морей боюсь отвернутся	0
930456443098140672	ноября всемирный день борьбы диабетом уралмаш отличился поликлинике метформина лекарства диабетиков	0
829289370607841280	амурчанки продавали запрещенные препараты похудения сибутрамин женщины заказали почте	0
1021701892412518401	купить прозак витамины	0
1142913979611779078	ещё страттера атомоксетин странах СДВГ прописывают риталин аддерал запрещены россии наркотики назначают случаях другое побочек супер лёгкую альтернативу	0
1102204931740782592	моем сердце дырка нужен ссаный ксанакс	0
931228639974383616	таблеток ксанакса алкашкой запить	0
1067471008704225280	надеюсь смогу окунуться сон нормально кветиапин справится своими обязанностями	0
726486651397111809	хуже начинаешь придумывать вместо осознания реальности упасть кветирон друг	0
1195296063151919104	ЮЗЕРНЕЙМ оу антидепрессанты увидел флуоксетин попался задаче фарме антидепрессанты POS_EMOJI POS_EMOJI	0
1063273715159494656	лет нетривиальной задачей становится собрать аптечку поездку городам ограничился следующим миг септолете тотал назол микролакс гилан прозак имован атаракс феназепам драмина спирт пластыри антигистаминные брать стал всё таки зима забыл	0
1155940588769820675	сегодня слышала мам хотят мужчины порно стоящие проезжающие рядом хочет обсасывала сперму прикинь две пить прозака последний слышала чужим голосом своим голосом слушать страшно	0
813341106616365056	дорогой ламиктал будешь устраивать тошнючку спасибо пожалуйста заебал	0
1146631600010092544	огосподи результат метформина погуглите инсулинорезистентность бороться получше жрать невыписанные врачом таблетки метформин снижает витамины организме мало знает	1
993118521902104576	планы лето построить пирамиду ксанакса воскресить лил пипа	0
770234314122522624	имодиум зассали рекламе говорят помогают поносе расстройстве кишечного тракта	0
1084852307727208453	выхожу работу ради заработать деньги флуоксетин	0
934504043191394304	валяются остатки флуоксетина нужна улитка	0
1003040391237636096	прозак флуоксетин простанародье называется дешево сердито постоянно состояние счастливой свиньи	0
1145163948460859394	жду подойдет скажет ксанакс акции желаете купить	0
880422568485822464	ЮЗЕРНЕЙМ уахаах ещё фарм называетсяна лоперамид нажалось простуде нажала диареюболь	0
1066119197334388736	девочки фенепамом мальчики ксанаксом	0
1148679597594152961	контролем сегодня ксанакс пил	0
718497072991887361	каждый день 3 нервных срыва афобазол флуоксетином плачут	0
793563564665634817	рексетин прогулки часовые ежедневно помогло	0
1195952834245746689	ЮЗЕРНЕЙМ ЮЗЕРНЕЙМ обычно этих пабликах фосрят флуоксетин	0
705114161198571520	ЮЗЕРНЕЙМ лекарства получить багомет диабетиков	0
1142420889868341249	цифран забухала неделю зуб важнее	0
688118716119187456	ЮЗЕРНЕЙМ основной объём ГК ципрофлоксацина поставлен ЛПУ Г. москвы г.производства индии ЛП мин кол вом поб эффект	0
1089843989619052545	ещё посмотрел склад лекарств хотел незаметно спиздить флуоксетин	0
901731168785231873	алаказам алпразолам ток наркот.списке	0
924646813294120961	помню самое клевое самое стремное одновременно прозаке похудела кг могла писать никак	1
1144154101149835264	спустя шесть настойчивых просьб продала ксанакс	0
1087775156179820546	ЮЗЕРНЕЙМ славно отдохнуть отправляюсь притон полотенце маска ласты сеалекс	0
730645808270475264	сеалекс	0
1093791507381977088	ещё пароксетин выписали всё замечательно путаюсь таблетках времени приёма	0
1091290476366495744	отлично слышал историю бабку которая сама метопролол назначала подруга пьёт картоха уверен картоха психотерапевтическому эффекту некоторым лекарствам фору даст	0
1194295293375926272	ЮЗЕРНЕЙМ марта регулярно посещаю тётю врача пропит золофт феварин венлафаксин компании ламотриджином всё порядке 😀	0
